"date","loc","clas"
2021-09-19,"San Clemente Villages","Larceny/Theft"
2021-09-19,"Sierra Madre Villages","Larceny/Theft"
2021-09-19,"De La Guerra Dining Commons","Larceny/Theft"
2021-09-19,"Anacapa Residence Hall","Larceny/Theft"
2021-09-19,"Anacapa Residence Hall","Vandalism"
2021-09-19,"Santa Catalina Residence Hall","Larceny/Theft"
2021-09-20,"Santa Rosa Residence Hall","Larceny/Theft"
2021-09-20,"Santa Rosa Residence Hall","Vandalism"
2021-09-20,"Tropicana Del Norte","Larceny/Theft"
2021-09-20,"Tropicana Del Norte","Vandalism"
2021-09-20,"San Joaquin Villages","Larceny/Theft"
2021-09-20,"San Joaquin Villages","Vandalism"
2021-09-20,"Broida Hall","Larceny/Theft"
2021-09-20,"Dublin's Bar","Larceny/Theft"
2021-09-20,"Anacapa Residence Hall","Larceny/Theft"
2021-09-20,"Anacapa Residence Hall","Vandalism"
2021-09-20,"San Joaquin Villages","Larceny/Theft"
2021-09-20,"Sierra Madre Villages","Larceny/Theft"
2021-09-21,"Arts Building","Larceny/Theft"
2021-09-21,"San Nicholas Residence Hall","Larceny/Theft"
2021-09-21,"San Nicholas Residence Hall","Vandalism"
2021-09-21,"San Rafael Residence Hall","Larceny/Theft"
2021-09-21,"Manzanita Village","Larceny/Theft"
2021-09-21,"Carrillo Dining Commons","Larceny/Theft"
2021-09-21,"Carrillo Dining Commons","Vandalism"
2021-09-22,"Santa Cruz Residence Hall","Larceny/Theft"
2021-09-22,"Santa Cruz Residence Hall","Vandalism"
2021-09-22,"Anacapa Residence Hall","Larceny/Theft"
2021-09-22,"Anacapa Residence Hall","Vandalism"
2021-09-23,"Santa Cruz Residence Hall","Larceny/Theft"
2021-09-23,"Santa Cruz Residence Hall","Vandalism"
2021-09-23,"Manzanita Village","Larceny/Theft"
2021-09-24,"Manzanita Village","Larceny/Theft"
2021-09-24,"Santa Ynez Apartments","Larceny/Theft"
2021-09-24,"San Rafael Residence Hall","Larceny/Theft"
2021-09-24,"San Rafael Residence Hall","Vandalism"
2021-09-24,"San Joaquin Villages","Larceny/Theft"
2021-09-25,"Manzanita Village","Larceny/Theft"
2021-09-26,"Anacapa Residence Hall","Larceny/Theft"
2021-09-26,"Anacapa Residence Hall","Vandalism"
2021-09-26,"Santa Catalina Residence Hall","Larceny/Theft"
2021-09-27,"Portola Dining Commons","Larceny/Theft"
2021-09-27,"Anacapa Residence Hall","Larceny/Theft"
2021-09-27,"Anacapa Residence Hall","Vandalism"
2021-09-27,"Portola Dining Commons","Larceny/Theft"
2021-09-27,"San Joaquin Villages","Larceny/Theft"
2021-09-27,"San Joaquin Villages","Vandalism"
2021-09-27,"Storke Family Housing","Larceny/Theft"
2021-09-27,"Storke Family Housing","Vandalism"
2021-09-27,"Sierra Madre Villages","Larceny/Theft"
2021-09-27,"San Joaquin Villages","Larceny/Theft"
2021-09-27,"San Joaquin Villages","Vandalism"
2021-09-27,"Manzanita Village","Larceny/Theft"
2021-09-27,"San Nicholas Residence Hall","Larceny/Theft"
2021-09-29,"San Miguel Dorm","Larceny/Theft"
2021-09-29,"San Joaquin Villages","Larceny/Theft"
2021-09-29,"Santa Ynez Apartments","Larceny/Theft"
2021-09-29,"Santa Ynez Apartments","Larceny/Theft"
2021-09-30,"San Nicholas Residence Hall","Larceny/Theft"
2021-09-30,"Anacapa Residence Hall","Larceny/Theft"
2021-09-30,"Santa Catalina Residence Hall","Larceny/Theft"
