"loc","n"
"San Joaquin",11
"Anacapa Residence Hall",7
"Manzanita",5
"Santa Catalina",5
"Santa Cruz Residence Hall",5
"San Clemente",4
"Santa Ynez Apartments",4
"San Nicolas Residence Hall",3
"Santa Rosa Residence Hall",3
"Portola Dining Commons1  San Cat",2
"San Rafael Cluster",2
"Sierra Madre Villages",2
"Tropicana Gardens",2
"Arts Building",1
"Bren Hall",1
"Broida Hall",1
"Bus Loop",1
"Carrillo Dining Commons",1
"Chemistry",1
"Gayley Walk",1
"Harder Stadium Bike Racks",1
"Juniper Walk",1
"Music",2
"Oak Walk",1
"Parking Lot 02",1
"Parking Lot 38",1
"San Miguel Residence Hall",1
"San Rafael Tower",1
"Sierra Madre Apts ",1
"Storke Tower",1
"Tenaya Market",1
"Tropicana Del Norte",1
